_id,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
o_tasks/6fc26c0e-e69a-43d2-b18b-6a4af7a9e977,1387,"Develop, implement, or manage plans or programs related to conservation or management of natural resources.",Supplemental,27,07/2012,Occupational Expert
o_tasks/35602b4f-5da9-418b-bb8b-87c556602aa2,19626,Write reports or articles for Web sites or newsletters related to environmental engineering issues.,Supplemental,27,07/2012,Occupational Expert
o_tasks/54cb5440-955c-43b8-90d6-ddbcf363860f,16327,"Provide technical direction or supervision to junior engineers, engineering or computer-aided design (CAD) technicians, or other technical personnel.",Core,29,07/2012,Occupational Expert
o_tasks/461f9917-f2eb-4880-bb60-1685f2d9eaab,16337,"Conduct feasibility studies for the construction of facilities, such as water supply systems, runoff collection networks, water and wastewater treatment plants, or wastewater collection systems.",Core,29,07/2012,Occupational Expert
o_tasks/4b95fa56-3813-4d39-a12d-3a06ad8290a3,16349,"Design pumping systems, pumping stations, pipelines, force mains, or sewers for the collection of wastewater.",Core,29,07/2012,Occupational Expert
o_tasks/0ec8d920-e847-43de-96a4-6c70a67694d8,16350,"Design domestic or industrial water or wastewater treatment plants, including advanced facilities with sequencing batch reactors (SBR), membranes, lift stations, headworks, surge overflow basins, ultraviolet disinfection systems, aerobic digesters, sludge lagoons, or control buildings.",Core,29,07/2012,Occupational Expert
o_tasks/618bde2a-287e-4e12-b95a-dab76ea170cb,16341,"Analyze storm water or floodplain drainage systems to control erosion, stabilize river banks, repair channel streams, or design bridges.",Core,28,07/2012,Occupational Expert
o_tasks/72267e4c-ca2e-4967-a942-cc99e6d9a067,16347,Design water distribution systems for potable or non-potable water.,Core,29,07/2012,Occupational Expert
o_tasks/90b579e5-b14a-4208-85cf-3092f322a296,16330,Design or select equipment for use in wastewater processing to ensure compliance with government standards.,Core,29,07/2012,Occupational Expert
o_tasks/211689b1-92a9-4f80-b61b-30f755bfebbd,16328,Identify design alternatives for the development of new water resources.,Core,29,07/2012,Occupational Expert
o_tasks/757723ac-aa8b-48db-b116-26e65cff765a,16346,"Design water or wastewater lift stations, including water wells.",Core,28,07/2012,Occupational Expert
o_tasks/599b648b-e86f-4ad3-8e66-b3f549ca0ef3,16334,"Perform hydraulic analyses of water supply systems or water distribution networks to model flow characteristics, test for pressure losses, or to identify opportunities to mitigate risks and improve operational efficiency.",Core,29,07/2012,Occupational Expert
o_tasks/30af4c34-af50-4172-8643-2dc3d3d28c73,16336,Gather and analyze water use data to forecast water demand.,Core,28,07/2012,Occupational Expert
o_tasks/bfb4853b-c17d-40b2-b1bf-03dc9069c737,16344,Design water storage tanks or other water storage facilities.,Core,29,07/2012,Occupational Expert
o_tasks/69b4c890-b7c5-437b-93cc-6b654441a811,16339,"Conduct cost-benefit analyses for the construction of water supply systems, runoff collection networks, water and wastewater treatment plants, or wastewater collection systems.",Core,29,07/2012,Occupational Expert
o_tasks/a1c209e9-7e36-485f-b182-a55c8792c53f,16343,"Analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use.",Core,29,07/2012,Occupational Expert
o_tasks/5840be7d-4f1e-4c00-8225-7ecdc0cda958,16325,"Review and critique proposals, plans, or designs related to water or wastewater treatment systems.",Core,28,07/2012,Occupational Expert
o_tasks/704a35be-e1f6-44a0-acc2-aff44f9c1193,16324,Write technical reports or publications related to water resources development or water use efficiency.,Core,29,07/2012,Occupational Expert
o_tasks/5874d10c-705d-47d2-ae17-ab741dc27cc9,16348,Design sludge treatment plants.,Core,29,07/2012,Occupational Expert
o_tasks/9965789d-b712-4f07-8f05-ee6fce2b1262,16331,Conduct water quality studies to identify and characterize water pollutant sources.,Core,28,07/2012,Occupational Expert
o_tasks/86b1367f-e10b-4795-8b23-082a8435ef8a,16326,Provide technical support on water resource or treatment issues to government agencies.,Core,29,07/2012,Occupational Expert
o_tasks/fb50541f-81d3-4805-aa60-aad9a34120f3,16342,Analyze and recommend sludge treatment or disposal methods.,Core,28,07/2012,Occupational Expert
o_tasks/1c124388-6631-4674-bb38-6a78f3ae3a96,16345,"Design water runoff collection networks, water supply channels, or water supply system networks.",Core,28,07/2012,Occupational Expert
o_tasks/0afac9b7-0065-439f-a01e-6921e69a43e6,16333,"Perform hydrological analyses, using three-dimensional simulation software, to model the movement of water or forecast the dispersion of chemical pollutants in the water supply.",Core,28,07/2012,Occupational Expert
o_tasks/7b63f7a6-141d-4af4-94cf-8636346165d5,16335,"Oversee the construction of decentralized or on-site wastewater treatment systems, including reclaimed water facilities.",Core,29,07/2012,Occupational Expert
o_tasks/5dea315d-03ad-41b4-8d69-c5935381aa9f,16329,Develop plans for new water resources or water efficiency programs.,Core,28,07/2012,Occupational Expert
o_tasks/fb8c62b4-fa3f-4ab4-9902-7b95b96bf58f,16340,"Analyze the efficiency of water delivery structures, such as dams, tainter gates, canals, pipes, penstocks, or cofferdams.",Core,29,07/2012,Occupational Expert
o_tasks/80c03782-d0ca-4458-9e83-c5ebf3abe91d,16338,"Conduct environmental impact studies related to water and wastewater collection, treatment, or distribution.",Core,29,07/2012,Occupational Expert
o_tasks/b37af853-eeaa-4a69-8a83-71d94e5c218b,16332,"Perform mathematical modeling of underground or surface water resources, such as floodplains, ocean coastlines, streams, rivers, or wetlands.",Core,28,07/2012,Occupational Expert
o_tasks/4c739027-767d-42a3-a6d7-138436ebd9be,5358,"Investigate industrial accidents, injuries, or occupational diseases to determine causes and preventive measures.",Core,31,08/2018,Occupational Expert
o_tasks/5de040ee-2bda-4b6f-8f94-512edfa7cf13,5361,"Inspect facilities, machinery, and safety equipment to identify and correct potential hazards, and to ensure safety regulation compliance.",Core,31,08/2018,Occupational Expert
o_tasks/829bb7e8-21ff-4d96-af5a-8094e91d0b0c,5362,"Conduct or coordinate worker training in areas such as safety laws and regulations, hazardous condition monitoring, and use of safety equipment.",Core,31,08/2018,Occupational Expert
o_tasks/3d73e69f-8bfa-4c0d-8931-4023b62fd124,5360,"Maintain and apply knowledge of current policies, regulations, and industrial processes.",Core,31,08/2018,Occupational Expert
o_tasks/f3a9a831-1ee3-46ac-ae32-51e14e5bfcc0,5359,"Report or review findings from accident investigations, facilities inspections, or environmental testing.",Core,31,08/2018,Occupational Expert
o_tasks/5b1ae0c4-71ef-43ef-a00c-d73c56969bf6,5374,Evaluate adequacy of actions taken to correct health inspection violations.,Core,31,08/2018,Occupational Expert
o_tasks/167cf9cf-6d58-4119-90c0-ea61ed03b895,5368,"Recommend process and product safety features that will reduce employees' exposure to chemical, physical, and biological work hazards.",Core,31,08/2018,Occupational Expert
o_tasks/d744799c-3862-4adc-975f-13a1af7e8d18,5367,"Interpret safety regulations for others interested in industrial safety, such as safety engineers, labor representatives, and safety inspectors.",Core,31,08/2018,Occupational Expert
o_tasks/fec827d4-a8ac-4277-8795-4cfaa1d54451,5365,Review plans and specifications for construction of new machinery or equipment to determine whether all safety requirements have been met.,Core,31,08/2018,Occupational Expert
o_tasks/bf97cb7b-d3fc-42d9-96f6-43682cfc9f03,5364,Interview employers and employees to obtain information about work environments and workplace incidents.,Core,31,08/2018,Occupational Expert
o_tasks/98c06972-9b39-4cac-bc94-0ba37cdb48fb,5363,Review employee safety programs to determine their adequacy.,Core,31,08/2018,Occupational Expert
o_tasks/2b66775e-4f29-4d83-989b-0b171a7556b8,5369,"Conduct or direct testing of air quality, noise, temperature, or radiation levels to verify compliance with health and safety regulations.",Core,31,08/2018,Occupational Expert
o_tasks/1d941760-c312-4d2e-98a2-7ca8a6774b90,5370,Provide technical advice and guidance to organizations on how to handle health-related problems and make needed changes.,Core,31,08/2018,Occupational Expert
o_tasks/ab1b399b-7045-4f27-8539-a35b4af808a4,5373,"Maintain liaisons with outside organizations, such as fire departments, mutual aid societies, and rescue teams, so that emergency responses can be facilitated.",Core,31,08/2018,Occupational Expert
o_tasks/fb1928d5-6267-47cd-bef0-63769b4cff13,5377,Plan and conduct industrial hygiene research.,Core,31,08/2018,Occupational Expert
o_tasks/109b1212-ac7a-453a-aa0b-21e474a7c373,5366,"Compile, analyze, and interpret statistical data related to occupational illnesses and accidents.",Core,31,08/2018,Occupational Expert
o_tasks/ad315b5e-151b-41f6-82a4-4c1c61d6699e,5375,Write and revise safety regulations and codes.,Core,31,08/2018,Occupational Expert
o_tasks/88b7c4c8-cc91-4e0c-86b3-8b3c56aca102,5371,Confer with medical professionals to assess health risks and to develop ways to manage health issues and concerns.,Core,31,08/2018,Occupational Expert
o_tasks/ce85184e-24a9-42bf-80bc-462b0e0ce005,5372,"Install safety devices on machinery, or direct device installation.",Supplemental,31,08/2018,Occupational Expert
o_tasks/158b850e-b00e-47d5-9bc8-eddaae6bf722,5378,Design and build safety equipment.,Supplemental,31,08/2018,Occupational Expert
o_tasks/e30b9944-0634-4f82-8f4c-2db7f2b4d4c8,5376,Check floors of plants to ensure that they are strong enough to support heavy machinery.,Supplemental,31,08/2018,Occupational Expert
o_tasks/13979a59-d633-4190-a5ff-66c4532b46cb,8984,"Advise architects, builders, and other construction personnel on fire prevention equipment and techniques and on fire code and standard interpretation and compliance.",Core,29,07/2013,Occupational Expert
o_tasks/d34802d6-3872-428b-af71-21a114c00b28,8983,"Inspect buildings or building designs to determine fire protection system requirements and potential problems in areas such as water supplies, exit locations, and construction materials.",Core,29,07/2013,Occupational Expert
o_tasks/921a4918-919b-47ff-a6f6-222050605981,8982,"Design fire detection equipment, alarm systems, and fire extinguishing devices and systems.",Core,29,07/2013,Occupational Expert
o_tasks/385b4085-6dd3-4a7b-8139-0b571c060bdb,20383,"Prepare and write reports detailing specific fire prevention and protection issues, such as work performed, revised codes or standards, and proposed review schedules.",Core,29,07/2013,Occupational Expert
o_tasks/d5ac7551-4e31-48c2-91cb-bcc4342bb194,8986,Determine causes of fires and ways in which they could have been prevented.,Core,29,07/2013,Occupational Expert
o_tasks/b09289df-f23d-43af-8793-f3d5d053b68b,8987,"Direct the purchase, modification, installation, maintenance, and operation of fire protection systems.",Core,29,07/2013,Occupational Expert
o_tasks/d0006c82-6601-4670-8d0d-b0ecc203797c,8989,"Develop plans for the prevention of destruction by fire, wind, and water.",Core,27,07/2013,Occupational Expert
o_tasks/27a5972b-f073-474d-a0e5-4aa79ff61fd1,8988,Consult with authorities to discuss safety regulations and to recommend changes as necessary.,Core,29,07/2013,Occupational Expert
o_tasks/19ae85aa-024c-4fe5-94f3-afca094c3278,8990,Study the relationships between ignition sources and materials to determine how fires start.,Core,28,07/2013,Occupational Expert
o_tasks/70d6d385-9b61-45b0-866a-a20ac90bbb6d,8992,Develop training materials and conduct training sessions on fire protection.,Core,29,07/2013,Occupational Expert
o_tasks/9e6cf00b-7911-4429-887b-7a279245ecdc,8994,Conduct research on fire retardants and the fire safety of materials and devices.,Core,29,07/2013,Occupational Expert
o_tasks/3823442d-9add-4369-abb7-e56846f1aee1,8991,"Attend workshops, seminars, or conferences to present or obtain information regarding fire prevention and protection.",Core,28,07/2013,Occupational Expert
o_tasks/8e13f299-bef2-457d-b164-889693a86f5c,8993,Evaluate fire department performance and the laws and regulations affecting fire prevention or fire safety.,Supplemental,29,07/2013,Occupational Expert
o_tasks/52a9b5a5-9957-4d38-ac4a-30c62faf5cac,12923,"Investigate causes of accidents, injuries, or illnesses related to product usage to develop solutions to minimize or prevent recurrence.",Core,23,07/2016,Occupational Expert
o_tasks/93cedfd5-90c9-48a5-8831-8f24eff80bfa,12928,Conduct research to evaluate safety levels for products.,Core,23,07/2016,Occupational Expert
o_tasks/a06a1ebc-d0f0-4997-952d-ab21415caf69,12927,Report accident investigation findings.,Core,23,07/2016,Occupational Expert
o_tasks/3ff055d1-876c-4a46-9b9f-d5839220358f,20851,Evaluate product designs for safety.,Core,23,07/2016,Occupational Expert
o_tasks/773111c5-4fce-4734-8058-1f22f62c8eb6,12926,"Recommend procedures for detection, prevention, and elimination of physical, chemical, or other product hazards.",Core,23,07/2016,Occupational Expert
